mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
original,0,2048,-31.072929601096256,13.282467742106112,-32.512109435409,12.459764249643564,-15.408547401428223,-16.086040496826172,-22.38433074951172,-23.371768951416016,-28.15229606628418,-29.397903442382812,-32.67726135253906,-34.19920349121094
original,1,2048,-30.766919516781126,13.533143436659255,-32.24695448204293,12.625733201222682,-15.34200382232666,-16.020307540893555,-22.272144317626953,-23.270008087158203,-27.951311111450195,-29.220022201538086,-32.33958435058594,-33.90757369995117
original,2,2048,-29.91558114503514,12.785886997648815,-31.46817472903058,11.875770973178915,-14.508832931518555,-15.254999160766602,-21.34170150756836,-22.421428680419922,-27.054231643676758,-28.409326553344727,-31.494522094726562,-33.13398742675781
original,3,2048,-30.906884546458784,13.526587810632842,-32.35681016322269,12.669530770736493,-15.450472831726074,-16.170421600341797,-22.379589080810547,-23.42181396484375,-28.06284523010254,-29.351333618164062,-32.4849853515625,-34.011329650878906
original,4,2048,-30.41455611969031,13.116469770957176,-31.846355812856743,12.237323296120008,-14.873908996582031,-15.54320240020752,-21.765731811523438,-22.746906280517578,-27.518905639648438,-28.75942611694336,-32.0078010559082,-33.52220916748047
original,5,2048,-30.881542594553864,13.255446664422825,-32.384415231214376,12.339426155047745,-15.243579864501953,-15.966150283813477,-22.2123966217041,-23.261993408203125,-27.98283576965332,-29.29950714111328,-32.48188400268555,-34.068275451660156
original,6,2048,-30.69538939699887,12.962773349934787,-32.13657101935533,12.077052006082557,-15.058205604553223,-15.746967315673828,-22.005224227905273,-23.008724212646484,-27.785930633544922,-29.03872299194336,-32.29755401611328,-33.81982421875
original,7,2048,-30.995816523421674,13.692466364076498,-32.4722522284781,12.845366212274318,-15.475746154785156,-16.18876838684082,-22.43004035949707,-23.459796905517578,-28.13958740234375,-29.426273345947266,-32.58064651489258,-34.13942337036133
original,8,2048,-30.75886508388576,13.191060744774772,-32.279657573061925,12.268530317599298,-15.224947929382324,-15.947179794311523,-22.154048919677734,-23.200332641601562,-27.88479995727539,-29.207820892333984,-32.34785461425781,-33.955169677734375
robust,0,2048,-31.22981720345924,13.041649785701152,-32.58077393488784,12.259281333431005,-15.941606521606445,-16.648042678833008,-22.892757415771484,-23.86787223815918,-28.42357635498047,-29.658029556274414,-32.784610748291016,-34.20244216918945
