label,algorithm,suite,task,seed,action_chunk_size,event,metric,value,selected_horizon_mean,selected_horizon_count,path
fixed_horizon_iql_h4_seed_0,fixed_horizon_iql_h4,ogbench,pointmaze-large-stitch-v0,0,1,rollout_eval,rollout_success_rate,0.0,4.0,1000,runs/ogbench-large-pointmaze-normalized-pilot/fixed_horizon_iql_h4/seed_0/metrics.jsonl
fixed_horizon_iql_h4_seed_1,fixed_horizon_iql_h4,ogbench,pointmaze-large-stitch-v0,1,1,rollout_eval,rollout_success_rate,0.0,4.0,1000,runs/ogbench-large-pointmaze-normalized-pilot/fixed_horizon_iql_h4/seed_1/metrics.jsonl
fixed_horizon_iql_h4_seed_2,fixed_horizon_iql_h4,ogbench,pointmaze-large-stitch-v0,2,1,rollout_eval,rollout_success_rate,0.0,4.0,1000,runs/ogbench-large-pointmaze-normalized-pilot/fixed_horizon_iql_h4/seed_2/metrics.jsonl
fixed_horizon_iql_h4_normalized_seed_0,fixed_horizon_iql_h4,ogbench,pointmaze-large-stitch-v0,0,1,rollout_eval,rollout_success_rate,0.0,4.0,1000,runs/ogbench-large-pointmaze-normalized-pilot/fixed_horizon_iql_h4_normalized/seed_0/metrics.jsonl
fixed_horizon_iql_h4_normalized_seed_1,fixed_horizon_iql_h4,ogbench,pointmaze-large-stitch-v0,1,1,rollout_eval,rollout_success_rate,0.0,4.0,1000,runs/ogbench-large-pointmaze-normalized-pilot/fixed_horizon_iql_h4_normalized/seed_1/metrics.jsonl
fixed_horizon_iql_h4_normalized_seed_2,fixed_horizon_iql_h4,ogbench,pointmaze-large-stitch-v0,2,1,rollout_eval,rollout_success_rate,0.0,4.0,1000,runs/ogbench-large-pointmaze-normalized-pilot/fixed_horizon_iql_h4_normalized/seed_2/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_0,adaptive_iql,ogbench,pointmaze-large-stitch-v0,0,1,rollout_eval,rollout_success_rate,0.0,4.667,1000,runs/ogbench-large-pointmaze-normalized-pilot/adaptive_iql_sparse_centered_weighted/seed_0/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_1,adaptive_iql,ogbench,pointmaze-large-stitch-v0,1,1,rollout_eval,rollout_success_rate,0.0,4.309,1000,runs/ogbench-large-pointmaze-normalized-pilot/adaptive_iql_sparse_centered_weighted/seed_1/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_2,adaptive_iql,ogbench,pointmaze-large-stitch-v0,2,1,rollout_eval,rollout_success_rate,0.0,4.836,1000,runs/ogbench-large-pointmaze-normalized-pilot/adaptive_iql_sparse_centered_weighted/seed_2/metrics.jsonl
adaptive_iql_sparse_centered_weighted_normalized_seed_0,adaptive_iql,ogbench,pointmaze-large-stitch-v0,0,1,rollout_eval,rollout_success_rate,0.0,4.757,1000,runs/ogbench-large-pointmaze-normalized-pilot/adaptive_iql_sparse_centered_weighted_normalized/seed_0/metrics.jsonl
adaptive_iql_sparse_centered_weighted_normalized_seed_1,adaptive_iql,ogbench,pointmaze-large-stitch-v0,1,1,rollout_eval,rollout_success_rate,0.0,4.454,1000,runs/ogbench-large-pointmaze-normalized-pilot/adaptive_iql_sparse_centered_weighted_normalized/seed_1/metrics.jsonl
adaptive_iql_sparse_centered_weighted_normalized_seed_2,adaptive_iql,ogbench,pointmaze-large-stitch-v0,2,1,rollout_eval,rollout_success_rate,0.0,4.99,1000,runs/ogbench-large-pointmaze-normalized-pilot/adaptive_iql_sparse_centered_weighted_normalized/seed_2/metrics.jsonl
