label,algorithm,suite,task,seed,action_chunk_size,event,metric,value,selected_horizon_mean,selected_horizon_count,path
fixed_horizon_iql_h4_seed_0,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,0,1,eval,eval_action_mse,0.3593062162399292,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_0/metrics.jsonl
fixed_horizon_iql_h4_seed_1,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,1,1,eval,eval_action_mse,0.35736584663391113,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_1/metrics.jsonl
fixed_horizon_iql_h4_seed_2,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,2,1,eval,eval_action_mse,0.3670148551464081,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_2/metrics.jsonl
fixed_horizon_iql_h4_seed_3,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,3,1,eval,eval_action_mse,0.3884499669075012,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_3/metrics.jsonl
fixed_horizon_iql_h4_seed_4,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,4,1,eval,eval_action_mse,0.3628329634666443,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_4/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_0,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,0,1,eval,eval_action_mse,0.3458896279335022,5.266666666666667,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_0/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_1,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,1,1,eval,eval_action_mse,0.3783861994743347,5.282666666666667,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_1/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_2,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,2,1,eval,eval_action_mse,0.38685381412506104,5.494,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_2/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_3,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,3,1,eval,eval_action_mse,0.381011039018631,5.142,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_3/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_4,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,4,1,eval,eval_action_mse,0.36500775814056396,5.6226666666666665,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_4/metrics.jsonl
