label,algorithm,suite,task,seed,action_chunk_size,event,metric,value,selected_horizon_mean,selected_horizon_count,path
fixed_horizon_iql_h4_seed_0,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,0,1,rollout_eval,rollout_success_rate,0.16666666666666666,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_0/metrics.jsonl
fixed_horizon_iql_h4_seed_1,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,1,1,rollout_eval,rollout_success_rate,0.08333333333333333,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_1/metrics.jsonl
fixed_horizon_iql_h4_seed_2,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,2,1,rollout_eval,rollout_success_rate,0.16666666666666666,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_2/metrics.jsonl
fixed_horizon_iql_h4_seed_3,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,3,1,rollout_eval,rollout_success_rate,0.08333333333333333,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_3/metrics.jsonl
fixed_horizon_iql_h4_seed_4,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,4,1,rollout_eval,rollout_success_rate,0.08333333333333333,4.0,1500,runs/ogbench-pointmaze-extended-pilot/fixed_horizon_iql_h4/seed_4/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_0,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,0,1,rollout_eval,rollout_success_rate,0.0,5.266666666666667,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_0/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_1,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,1,1,rollout_eval,rollout_success_rate,0.0,5.282666666666667,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_1/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_2,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,2,1,rollout_eval,rollout_success_rate,0.16666666666666666,5.494,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_2/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_3,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,3,1,rollout_eval,rollout_success_rate,0.3333333333333333,5.142,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_3/metrics.jsonl
adaptive_iql_sparse_centered_weighted_seed_4,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,4,1,rollout_eval,rollout_success_rate,0.08333333333333333,5.6226666666666665,1500,runs/ogbench-pointmaze-extended-pilot/adaptive_iql_sparse_centered_weighted/seed_4/metrics.jsonl
