label,algorithm,suite,task,seed,event,metric,value,selected_horizon_mean,selected_horizon_count,path
iql_seed_0,iql,ogbench,pointmaze-medium-stitch-v0,0,eval,eval_action_mse,0.4199828505516052,,0,runs/ogbench-pointmaze-fixed-horizon-ablation/iql/seed_0/metrics.jsonl
iql_seed_1,iql,ogbench,pointmaze-medium-stitch-v0,1,eval,eval_action_mse,0.41784268617630005,,0,runs/ogbench-pointmaze-fixed-horizon-ablation/iql/seed_1/metrics.jsonl
fixed_horizon_iql_h1_seed_0,fixed_horizon_iql_h1,ogbench,pointmaze-medium-stitch-v0,0,eval,eval_action_mse,0.4177019000053406,1.0,500,runs/ogbench-pointmaze-fixed-horizon-ablation/fixed_horizon_iql_h1/seed_0/metrics.jsonl
fixed_horizon_iql_h1_seed_1,fixed_horizon_iql_h1,ogbench,pointmaze-medium-stitch-v0,1,eval,eval_action_mse,0.41881421208381653,1.0,500,runs/ogbench-pointmaze-fixed-horizon-ablation/fixed_horizon_iql_h1/seed_1/metrics.jsonl
fixed_horizon_iql_h4_seed_0,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,0,eval,eval_action_mse,0.4122968316078186,4.0,500,runs/ogbench-pointmaze-fixed-horizon-ablation/fixed_horizon_iql_h4/seed_0/metrics.jsonl
fixed_horizon_iql_h4_seed_1,fixed_horizon_iql_h4,ogbench,pointmaze-medium-stitch-v0,1,eval,eval_action_mse,0.41407978534698486,4.0,500,runs/ogbench-pointmaze-fixed-horizon-ablation/fixed_horizon_iql_h4/seed_1/metrics.jsonl
fixed_horizon_iql_h8_seed_0,fixed_horizon_iql_h8,ogbench,pointmaze-medium-stitch-v0,0,eval,eval_action_mse,0.41882526874542236,8.0,500,runs/ogbench-pointmaze-fixed-horizon-ablation/fixed_horizon_iql_h8/seed_0/metrics.jsonl
fixed_horizon_iql_h8_seed_1,fixed_horizon_iql_h8,ogbench,pointmaze-medium-stitch-v0,1,eval,eval_action_mse,0.41471385955810547,8.0,500,runs/ogbench-pointmaze-fixed-horizon-ablation/fixed_horizon_iql_h8/seed_1/metrics.jsonl
adaptive_iql_sparse_smoothed_seed_0,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,0,eval,eval_action_mse,0.41967660188674927,5.97,500,runs/ogbench-pointmaze-fixed-horizon-ablation/adaptive_iql_sparse_smoothed/seed_0/metrics.jsonl
adaptive_iql_sparse_smoothed_seed_1,adaptive_iql,ogbench,pointmaze-medium-stitch-v0,1,eval,eval_action_mse,0.42753756046295166,6.23,500,runs/ogbench-pointmaze-fixed-horizon-ablation/adaptive_iql_sparse_smoothed/seed_1/metrics.jsonl
