experiment,experiment_label,condition,mode,seed,task,initial_update_steps,invocation_update_steps,resumed_update_steps,total_update_steps,resumed_from_checkpoint,backup_boundary_count,success_rate,action_mse,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,path
medium_10k,"PointMaze Medium, 10k",naive-offset14,naive,0,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.0,0.8489803075790405,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset14/seed_0/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",naive-offset14,naive,1,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.0,0.90187007188797,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset14/seed_1/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",naive-offset14,naive,2,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.0,0.9793555736541748,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset14/seed_2/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",naive-offset24,naive,0,pointmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,0.8416062593460083,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset24/seed_0/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",naive-offset24,naive,1,pointmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,1.066470742225647,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset24/seed_1/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",naive-offset24,naive,2,pointmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,1.0680055618286133,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset24/seed_2/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",naive-offset4,naive,0,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.0,0.9453431963920593,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset4/seed_0/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",naive-offset4,naive,1,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.3,0.9646393060684204,1.0,0.5,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset4/seed_1/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",naive-offset4,naive,2,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.2,0.9498224258422852,1.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/naive-offset4/seed_2/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",original,original,0,pointmaze-medium-stitch-v0,0,10000,0,10000,False,5000,0.2,0.9544897079467773,1.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/original/seed_0/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",original,original,1,pointmaze-medium-stitch-v0,0,10000,0,10000,False,5000,0.6,0.8219484090805054,1.0,1.0,0.0,0.0,1.0,segbench-gc-results/runs/segmentation-10k-gate/original/seed_1/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",original,original,2,pointmaze-medium-stitch-v0,0,10000,0,10000,False,5000,0.4,0.9267629384994507,1.0,1.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/original/seed_2/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset14,robust,0,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.3,0.9267144203186035,1.0,0.0,0.0,0.0,0.5,segbench-gc-results/runs/segmentation-10k-gate/robust-offset14/seed_0/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset14,robust,1,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.4,0.8303112387657166,1.0,0.5,0.0,0.0,0.5,segbench-gc-results/runs/segmentation-10k-gate/robust-offset14/seed_1/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset14,robust,2,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.4,0.8141245245933533,1.0,1.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/robust-offset14/seed_2/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset24,robust,0,pointmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.2,0.9308995008468628,1.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/robust-offset24/seed_0/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset24,robust,1,pointmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.4,0.8421521186828613,1.0,0.5,0.0,0.0,0.5,segbench-gc-results/runs/segmentation-10k-gate/robust-offset24/seed_1/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset24,robust,2,pointmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.4,0.8565241694450378,1.0,1.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/robust-offset24/seed_2/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset4,robust,0,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.2,0.8918603658676147,1.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/robust-offset4/seed_0/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset4,robust,1,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.4,0.9932620525360107,1.0,0.5,0.0,0.0,0.5,segbench-gc-results/runs/segmentation-10k-gate/robust-offset4/seed_1/metrics.jsonl
medium_10k,"PointMaze Medium, 10k",robust-offset4,robust,2,pointmaze-medium-stitch-v0,0,10000,0,10000,False,45000,0.4,0.9248143434524536,1.0,1.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-10k-gate/robust-offset4/seed_2/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",naive-offset14,naive,0,pointmaze-medium-stitch-v0,0,100000,0,100000,False,45000,0.0,1.1104912757873535,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-100k-gate/naive-offset14/seed_0/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",naive-offset14,naive,1,pointmaze-medium-stitch-v0,0,100000,0,100000,False,45000,0.0,1.048685073852539,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-100k-gate/naive-offset14/seed_1/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",naive-offset14,naive,2,pointmaze-medium-stitch-v0,0,100000,0,100000,False,45000,0.0,1.048123836517334,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-100k-gate/naive-offset14/seed_2/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",naive-offset24,naive,0,pointmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,0.9632700681686401,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-100k-gate/naive-offset24/seed_0/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",naive-offset24,naive,1,pointmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,0.9980787038803101,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-100k-gate/naive-offset24/seed_1/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",naive-offset24,naive,2,pointmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,1.1406068801879883,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-100k-gate/naive-offset24/seed_2/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",original,original,0,pointmaze-medium-stitch-v0,0,100000,0,100000,False,5000,0.36,0.868809163570404,1.0,0.5,0.1,0.0,0.2,segbench-gc-results/runs/segmentation-100k-gate/original/seed_0/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",original,original,1,pointmaze-medium-stitch-v0,0,100000,0,100000,False,5000,0.66,0.8765251636505127,1.0,0.7,0.9,0.0,0.7,segbench-gc-results/runs/segmentation-100k-gate/original/seed_1/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",original,original,2,pointmaze-medium-stitch-v0,0,100000,0,100000,False,5000,0.54,0.8188034892082214,1.0,0.6,0.1,0.0,1.0,segbench-gc-results/runs/segmentation-100k-gate/original/seed_2/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",robust-offset14,robust,0,pointmaze-medium-stitch-v0,0,100000,0,100000,False,45000,0.36,0.8906158208847046,1.0,0.7,0.1,0.0,0.0,segbench-gc-results/runs/segmentation-100k-gate/robust-offset14/seed_0/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",robust-offset14,robust,1,pointmaze-medium-stitch-v0,0,100000,0,100000,False,45000,0.38,0.8505884408950806,0.4,0.8,0.3,0.0,0.4,segbench-gc-results/runs/segmentation-100k-gate/robust-offset14/seed_1/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",robust-offset14,robust,2,pointmaze-medium-stitch-v0,0,100000,0,100000,False,45000,0.48,0.9222955703735352,1.0,0.4,0.0,0.0,1.0,segbench-gc-results/runs/segmentation-100k-gate/robust-offset14/seed_2/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",robust-offset24,robust,0,pointmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.48,0.9464517831802368,1.0,0.5,0.0,0.0,0.9,segbench-gc-results/runs/segmentation-100k-gate/robust-offset24/seed_0/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",robust-offset24,robust,1,pointmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.52,0.8907979726791382,0.7,0.8,0.3,0.0,0.8,segbench-gc-results/runs/segmentation-100k-gate/robust-offset24/seed_1/metrics.jsonl
medium_100k,"PointMaze Medium, 100k",robust-offset24,robust,2,pointmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.42,0.8907194137573242,1.0,0.5,0.0,0.0,0.6,segbench-gc-results/runs/segmentation-100k-gate/robust-offset24/seed_2/metrics.jsonl
large_10k,"PointMaze Large, 10k",naive-offset24,naive,0,pointmaze-large-stitch-v0,0,10000,0,10000,False,40000,0.1,0.9172948002815247,0.0,0.0,0.5,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/naive-offset24/seed_0/metrics.jsonl
large_10k,"PointMaze Large, 10k",naive-offset24,naive,1,pointmaze-large-stitch-v0,0,10000,0,10000,False,40000,0.2,1.1854385137557983,0.0,0.0,1.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/naive-offset24/seed_1/metrics.jsonl
large_10k,"PointMaze Large, 10k",naive-offset24,naive,2,pointmaze-large-stitch-v0,0,10000,0,10000,False,40000,0.3,0.9233208894729614,1.0,0.0,0.5,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/naive-offset24/seed_2/metrics.jsonl
large_10k,"PointMaze Large, 10k",original,original,0,pointmaze-large-stitch-v0,0,10000,0,10000,False,5000,0.3,0.8795487880706787,1.0,0.0,0.5,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/original/seed_0/metrics.jsonl
large_10k,"PointMaze Large, 10k",original,original,1,pointmaze-large-stitch-v0,0,10000,0,10000,False,5000,0.3,0.8168165683746338,1.0,0.0,0.5,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/original/seed_1/metrics.jsonl
large_10k,"PointMaze Large, 10k",original,original,2,pointmaze-large-stitch-v0,0,10000,0,10000,False,5000,0.3,0.9187378883361816,1.0,0.0,0.5,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/original/seed_2/metrics.jsonl
large_10k,"PointMaze Large, 10k",robust-offset24,robust,0,pointmaze-large-stitch-v0,0,10000,0,10000,False,40000,0.3,1.0219355821609497,1.0,0.0,0.5,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/robust-offset24/seed_0/metrics.jsonl
large_10k,"PointMaze Large, 10k",robust-offset24,robust,1,pointmaze-large-stitch-v0,0,10000,0,10000,False,40000,0.4,0.8399451375007629,1.0,0.0,1.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/robust-offset24/seed_1/metrics.jsonl
large_10k,"PointMaze Large, 10k",robust-offset24,robust,2,pointmaze-large-stitch-v0,0,10000,0,10000,False,40000,0.3,0.777564287185669,1.0,0.0,0.5,0.0,0.0,segbench-gc-results/runs/segmentation-large-10k-gate/robust-offset24/seed_2/metrics.jsonl
large_100k,"PointMaze Large, 100k",naive-offset24,naive,0,pointmaze-large-stitch-v0,0,100000,0,100000,False,40000,0.0,1.1003061532974243,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/naive-offset24/seed_0/metrics.jsonl
large_100k,"PointMaze Large, 100k",naive-offset24,naive,1,pointmaze-large-stitch-v0,0,100000,0,100000,False,40000,0.0,1.063075304031372,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/naive-offset24/seed_1/metrics.jsonl
large_100k,"PointMaze Large, 100k",naive-offset24,naive,2,pointmaze-large-stitch-v0,0,100000,0,100000,False,40000,0.0,1.0552726984024048,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/naive-offset24/seed_2/metrics.jsonl
large_100k,"PointMaze Large, 100k",original,original,0,pointmaze-large-stitch-v0,0,100000,0,100000,False,5000,0.18,0.8259714841842651,0.0,0.0,0.9,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/original/seed_0/metrics.jsonl
large_100k,"PointMaze Large, 100k",original,original,1,pointmaze-large-stitch-v0,0,100000,0,100000,False,5000,0.0,0.849744439125061,0.0,0.0,0.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/original/seed_1/metrics.jsonl
large_100k,"PointMaze Large, 100k",original,original,2,pointmaze-large-stitch-v0,0,100000,0,100000,False,5000,0.2,0.7932507991790771,0.0,0.0,1.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/original/seed_2/metrics.jsonl
large_100k,"PointMaze Large, 100k",robust-offset24,robust,0,pointmaze-large-stitch-v0,0,100000,0,100000,False,40000,0.2,0.9419159889221191,0.0,0.0,1.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/robust-offset24/seed_0/metrics.jsonl
large_100k,"PointMaze Large, 100k",robust-offset24,robust,1,pointmaze-large-stitch-v0,0,100000,0,100000,False,40000,0.18,0.8679243922233582,0.0,0.0,0.9,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/robust-offset24/seed_1/metrics.jsonl
large_100k,"PointMaze Large, 100k",robust-offset24,robust,2,pointmaze-large-stitch-v0,0,100000,0,100000,False,40000,0.2,0.7935359477996826,0.0,0.0,1.0,0.0,0.0,segbench-gc-results/runs/segmentation-large-100k-gate/robust-offset24/seed_2/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",naive-offset24,naive,0,antmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,0.8786342144012451,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/naive-offset24/seed_0/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",naive-offset24,naive,1,antmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,0.8473963737487793,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/naive-offset24/seed_1/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",naive-offset24,naive,2,antmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,0.8612238168716431,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/naive-offset24/seed_2/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",original,original,0,antmaze-medium-stitch-v0,0,10000,0,10000,False,5000,0.0,0.8392583131790161,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/original/seed_0/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",original,original,1,antmaze-medium-stitch-v0,0,10000,0,10000,False,5000,0.0,0.8243989944458008,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/original/seed_1/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",original,original,2,antmaze-medium-stitch-v0,0,10000,0,10000,False,5000,0.0,0.8286195993423462,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/original/seed_2/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",robust-offset24,robust,0,antmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,0.8480710983276367,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/robust-offset24/seed_0/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",robust-offset24,robust,1,antmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,0.8421814441680908,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/robust-offset24/seed_1/metrics.jsonl
antmaze_10k,"AntMaze Medium, 10k",robust-offset24,robust,2,antmaze-medium-stitch-v0,0,10000,0,10000,False,40000,0.0,0.8403093814849854,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-10k-gate/robust-offset24/seed_2/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",naive-offset24,naive,0,antmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,1.040688157081604,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/naive-offset24/seed_0/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",naive-offset24,naive,1,antmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,1.0257539749145508,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/naive-offset24/seed_1/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",naive-offset24,naive,2,antmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,1.0374083518981934,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/naive-offset24/seed_2/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",original,original,0,antmaze-medium-stitch-v0,0,100000,0,100000,False,5000,0.0,0.7055065035820007,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/original/seed_0/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",original,original,1,antmaze-medium-stitch-v0,0,100000,0,100000,False,5000,0.0,0.6741656064987183,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/original/seed_1/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",original,original,2,antmaze-medium-stitch-v0,0,100000,0,100000,False,5000,0.0,0.6953508853912354,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/original/seed_2/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",robust-offset24,robust,0,antmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,0.6914092898368835,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/robust-offset24/seed_0/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",robust-offset24,robust,1,antmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,0.6704139709472656,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/robust-offset24/seed_1/metrics.jsonl
antmaze_100k,"AntMaze Medium, 100k",robust-offset24,robust,2,antmaze-medium-stitch-v0,0,100000,0,100000,False,40000,0.0,0.6880058646202087,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-100k-gate/robust-offset24/seed_2/metrics.jsonl
antmaze_1m,"AntMaze Medium, 1M",naive-offset24,naive,0,antmaze-medium-stitch-v0,100000,900000,900000,1000000,True,40000,0.0,1.3339380025863647,0.0,0.0,0.0,0.0,0.0,segbench-gc-final-results/runs/segmentation-antmaze-full-seed0-gate/naive-offset24/seed_0/metrics.jsonl
antmaze_1m,"AntMaze Medium, 1M",original,original,0,antmaze-medium-stitch-v0,100000,900000,900000,1000000,True,5000,0.088,0.600972056388855,0.26,0.16,0.0,0.0,0.02,segbench-gc-final-results/runs/segmentation-antmaze-full-seed0-gate/original/seed_0/metrics.jsonl
antmaze_1m,"AntMaze Medium, 1M",robust-offset24,robust,0,antmaze-medium-stitch-v0,100000,900000,900000,1000000,True,40000,0.148,0.5996370315551758,0.6,0.06,0.0,0.0,0.08,segbench-gc-final-results/runs/segmentation-antmaze-full-seed0-gate/robust-offset24/seed_0/metrics.jsonl
