experiment,experiment_label,mode,seeds,conditions_per_seed,success_mean,success_sample_std,success_seed_bootstrap_low,success_seed_bootstrap_high,action_mse_mean,action_mse_sample_std
medium_10k,"PointMaze Medium, 10k",original,3,1,0.4000000000000001,0.19999999999999998,0.20000000000000004,0.6,0.9010670185089111,0.06990714701952701
medium_10k,"PointMaze Medium, 10k",robust,3,3,0.3444444444444445,0.09622504486493769,0.2333333333333333,0.4000000000000001,0.8900736371676127,0.02570132594248283
medium_10k,"PointMaze Medium, 10k",naive,3,3,0.05555555555555555,0.05091750772173156,0.0,0.09999999999999999,0.9517881605360242,0.06424278356120644
medium_100k,"PointMaze Medium, 100k",original,3,1,0.52,0.15099668870541502,0.36000000000000004,0.66,0.8547126054763794,0.03133660220379874
medium_100k,"PointMaze Medium, 100k",robust,3,2,0.43999999999999995,0.017320508075688773,0.42,0.45,0.8985781669616699,0.0248864679255305
medium_100k,"PointMaze Medium, 100k",naive,3,2,0.0,0.0,0.0,0.0,1.0515426397323608,0.03769473715120424
large_10k,"PointMaze Large, 10k",original,3,1,0.3,0.0,0.3,0.3,0.8717010815938314,0.05141185406485664
large_10k,"PointMaze Large, 10k",robust,3,1,0.3333333333333333,0.057735026918962595,0.3,0.4000000000000001,0.8798150022824606,0.12697061486917774
large_10k,"PointMaze Large, 10k",naive,3,1,0.20000000000000004,0.09999999999999999,0.10000000000000002,0.3,1.0086847345034282,0.15310291407328763
large_100k,"PointMaze Large, 100k",original,3,1,0.12666666666666668,0.11015141094572203,0.0,0.20000000000000004,0.8229889074961344,0.028364672770226914
large_100k,"PointMaze Large, 100k",robust,3,1,0.19333333333333336,0.011547005383792526,0.18000000000000002,0.20000000000000004,0.8677921096483866,0.07419010900978458
large_100k,"PointMaze Large, 100k",naive,3,1,0.0,0.0,0.0,0.0,1.0728847185770671,0.02406598170119825
medium_1m,"PointMaze Medium, 1M",original,5,1,0.6672,0.05195382565317013,0.624,0.7055999999999999,0.8251251101493835,0.03768395832608274
medium_1m,"PointMaze Medium, 1M",robust,5,1,0.6688,0.03767227096950752,0.6448,0.7016,0.8394030809402466,0.04621912461281999
medium_1m,"PointMaze Medium, 1M",naive,5,1,0.0,0.0,0.0,0.0,0.9720714569091797,0.06520611608520174
antmaze_10k,"AntMaze Medium, 10k",original,3,1,0.0,0.0,0.0,0.0,0.8307589689890543,0.007657187157681547
antmaze_10k,"AntMaze Medium, 10k",robust,3,1,0.0,0.0,0.0,0.0,0.8435206413269043,0.004050450451370198
antmaze_10k,"AntMaze Medium, 10k",naive,3,1,0.0,0.0,0.0,0.0,0.8624181350072225,0.015653129687507927
antmaze_100k,"AntMaze Medium, 100k",original,3,1,0.0,0.0,0.0,0.0,0.6916743318239847,0.0159906454558868
antmaze_100k,"AntMaze Medium, 100k",robust,3,1,0.0,0.0,0.0,0.0,0.683276375134786,0.011268403032982544
antmaze_100k,"AntMaze Medium, 100k",naive,3,1,0.0,0.0,0.0,0.0,1.0346168279647827,0.007848688021114481
antmaze_1m,"AntMaze Medium, 1M",original,3,1,0.13733333333333334,0.05460158727851539,0.08800000000000001,0.19600000000000004,0.6078948378562927,0.012571131685265038
antmaze_1m,"AntMaze Medium, 1M",robust,3,1,0.12133333333333333,0.04618802153517005,0.068,0.148,0.6081705689430237,0.00764438238313199
antmaze_1m,"AntMaze Medium, 1M",naive,3,1,0.0,0.0,0.0,0.0,1.321207324663798,0.02416677367511817
