experiment,experiment_label,mode,task_id,success_mean,success_sample_std
medium_10k,"PointMaze Medium, 10k",original,1,1.0,0.0
medium_10k,"PointMaze Medium, 10k",original,2,0.6666666666666666,0.5773502691896258
medium_10k,"PointMaze Medium, 10k",original,3,0.0,0.0
medium_10k,"PointMaze Medium, 10k",original,4,0.0,0.0
medium_10k,"PointMaze Medium, 10k",original,5,0.3333333333333333,0.5773502691896258
medium_10k,"PointMaze Medium, 10k",robust,1,1.0,0.0
medium_10k,"PointMaze Medium, 10k",robust,2,0.5,0.5
medium_10k,"PointMaze Medium, 10k",robust,3,0.0,0.0
medium_10k,"PointMaze Medium, 10k",robust,4,0.0,0.0
medium_10k,"PointMaze Medium, 10k",robust,5,0.2222222222222222,0.2545875386086578
medium_10k,"PointMaze Medium, 10k",naive,1,0.2222222222222222,0.19245008972987526
medium_10k,"PointMaze Medium, 10k",naive,2,0.05555555555555555,0.09622504486493763
medium_10k,"PointMaze Medium, 10k",naive,3,0.0,0.0
medium_10k,"PointMaze Medium, 10k",naive,4,0.0,0.0
medium_10k,"PointMaze Medium, 10k",naive,5,0.0,0.0
medium_100k,"PointMaze Medium, 100k",original,1,1.0,0.0
medium_100k,"PointMaze Medium, 100k",original,2,0.6,0.09999999999999998
medium_100k,"PointMaze Medium, 100k",original,3,0.3666666666666667,0.46188021535170065
medium_100k,"PointMaze Medium, 100k",original,4,0.0,0.0
medium_100k,"PointMaze Medium, 100k",original,5,0.6333333333333333,0.40414518843273806
medium_100k,"PointMaze Medium, 100k",robust,1,0.85,0.25980762113533157
medium_100k,"PointMaze Medium, 100k",robust,2,0.6166666666666666,0.17559422921421233
medium_100k,"PointMaze Medium, 100k",robust,3,0.11666666666666665,0.16072751268321592
medium_100k,"PointMaze Medium, 100k",robust,4,0.0,0.0
medium_100k,"PointMaze Medium, 100k",robust,5,0.6166666666666667,0.17559422921421233
medium_100k,"PointMaze Medium, 100k",naive,1,0.0,0.0
medium_100k,"PointMaze Medium, 100k",naive,2,0.0,0.0
medium_100k,"PointMaze Medium, 100k",naive,3,0.0,0.0
medium_100k,"PointMaze Medium, 100k",naive,4,0.0,0.0
medium_100k,"PointMaze Medium, 100k",naive,5,0.0,0.0
large_10k,"PointMaze Large, 10k",original,1,1.0,0.0
large_10k,"PointMaze Large, 10k",original,2,0.0,0.0
large_10k,"PointMaze Large, 10k",original,3,0.5,0.0
large_10k,"PointMaze Large, 10k",original,4,0.0,0.0
large_10k,"PointMaze Large, 10k",original,5,0.0,0.0
large_10k,"PointMaze Large, 10k",robust,1,1.0,0.0
large_10k,"PointMaze Large, 10k",robust,2,0.0,0.0
large_10k,"PointMaze Large, 10k",robust,3,0.6666666666666666,0.28867513459481287
large_10k,"PointMaze Large, 10k",robust,4,0.0,0.0
large_10k,"PointMaze Large, 10k",robust,5,0.0,0.0
large_10k,"PointMaze Large, 10k",naive,1,0.3333333333333333,0.5773502691896258
large_10k,"PointMaze Large, 10k",naive,2,0.0,0.0
large_10k,"PointMaze Large, 10k",naive,3,0.6666666666666666,0.28867513459481287
large_10k,"PointMaze Large, 10k",naive,4,0.0,0.0
large_10k,"PointMaze Large, 10k",naive,5,0.0,0.0
large_100k,"PointMaze Large, 100k",original,1,0.0,0.0
large_100k,"PointMaze Large, 100k",original,2,0.0,0.0
large_100k,"PointMaze Large, 100k",original,3,0.6333333333333333,0.5507570547286103
large_100k,"PointMaze Large, 100k",original,4,0.0,0.0
large_100k,"PointMaze Large, 100k",original,5,0.0,0.0
large_100k,"PointMaze Large, 100k",robust,1,0.0,0.0
large_100k,"PointMaze Large, 100k",robust,2,0.0,0.0
large_100k,"PointMaze Large, 100k",robust,3,0.9666666666666667,0.05773502691896256
large_100k,"PointMaze Large, 100k",robust,4,0.0,0.0
large_100k,"PointMaze Large, 100k",robust,5,0.0,0.0
large_100k,"PointMaze Large, 100k",naive,1,0.0,0.0
large_100k,"PointMaze Large, 100k",naive,2,0.0,0.0
large_100k,"PointMaze Large, 100k",naive,3,0.0,0.0
large_100k,"PointMaze Large, 100k",naive,4,0.0,0.0
large_100k,"PointMaze Large, 100k",naive,5,0.0,0.0
medium_1m,"PointMaze Medium, 1M",original,1,1.0,0.0
medium_1m,"PointMaze Medium, 1M",original,2,0.812,0.25752669764511793
medium_1m,"PointMaze Medium, 1M",original,3,0.5800000000000001,0.07071067811865477
medium_1m,"PointMaze Medium, 1M",original,4,0.0,0.0
medium_1m,"PointMaze Medium, 1M",original,5,0.944,0.09316651759081691
medium_1m,"PointMaze Medium, 1M",robust,1,0.908,0.20571825392998064
medium_1m,"PointMaze Medium, 1M",robust,2,0.952,0.1073312629199899
medium_1m,"PointMaze Medium, 1M",robust,3,0.504,0.1645600194457937
medium_1m,"PointMaze Medium, 1M",robust,4,0.0,0.0
medium_1m,"PointMaze Medium, 1M",robust,5,0.9800000000000001,0.028284271247461926
medium_1m,"PointMaze Medium, 1M",naive,1,0.0,0.0
medium_1m,"PointMaze Medium, 1M",naive,2,0.0,0.0
medium_1m,"PointMaze Medium, 1M",naive,3,0.0,0.0
medium_1m,"PointMaze Medium, 1M",naive,4,0.0,0.0
medium_1m,"PointMaze Medium, 1M",naive,5,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",original,1,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",original,2,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",original,3,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",original,4,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",original,5,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",robust,1,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",robust,2,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",robust,3,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",robust,4,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",robust,5,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",naive,1,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",naive,2,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",naive,3,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",naive,4,0.0,0.0
antmaze_10k,"AntMaze Medium, 10k",naive,5,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",original,1,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",original,2,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",original,3,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",original,4,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",original,5,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",robust,1,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",robust,2,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",robust,3,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",robust,4,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",robust,5,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",naive,1,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",naive,2,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",naive,3,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",naive,4,0.0,0.0
antmaze_100k,"AntMaze Medium, 100k",naive,5,0.0,0.0
antmaze_1m,"AntMaze Medium, 1M",original,1,0.5066666666666667,0.22479620400116485
antmaze_1m,"AntMaze Medium, 1M",original,2,0.08,0.08
antmaze_1m,"AntMaze Medium, 1M",original,3,0.02666666666666667,0.030550504633038933
antmaze_1m,"AntMaze Medium, 1M",original,4,0.0,0.0
antmaze_1m,"AntMaze Medium, 1M",original,5,0.07333333333333333,0.09237604307034011
antmaze_1m,"AntMaze Medium, 1M",robust,1,0.5,0.24576411454889016
antmaze_1m,"AntMaze Medium, 1M",robust,2,0.02,0.034641016151377546
antmaze_1m,"AntMaze Medium, 1M",robust,3,0.013333333333333334,0.011547005383792516
antmaze_1m,"AntMaze Medium, 1M",robust,4,0.0,0.0
antmaze_1m,"AntMaze Medium, 1M",robust,5,0.07333333333333333,0.030550504633038936
antmaze_1m,"AntMaze Medium, 1M",naive,1,0.0,0.0
antmaze_1m,"AntMaze Medium, 1M",naive,2,0.0,0.0
antmaze_1m,"AntMaze Medium, 1M",naive,3,0.0,0.0
antmaze_1m,"AntMaze Medium, 1M",naive,4,0.0,0.0
antmaze_1m,"AntMaze Medium, 1M",naive,5,0.0,0.0
