method,seed,task_id,success_rate,selected_horizon_mean,horizon_1_probability,horizon_2_probability,horizon_4_probability,horizon_8_probability
fixed-h8,0,1,1.0,,,,,
fixed-h8,0,2,0.9,,,,,
fixed-h8,0,3,0.42,,,,,
fixed-h8,0,4,0.0,,,,,
fixed-h8,0,5,1.0,,,,,
fixed-h8,1,1,0.54,,,,,
fixed-h8,1,2,0.78,,,,,
fixed-h8,1,3,0.5,,,,,
fixed-h8,1,4,0.0,,,,,
fixed-h8,1,5,0.98,,,,,
fixed-h8,2,1,0.94,,,,,
fixed-h8,2,2,0.66,,,,,
fixed-h8,2,3,0.62,,,,,
fixed-h8,2,4,0.0,,,,,
fixed-h8,2,5,1.0,,,,,
fixed-h8,3,1,1.0,,,,,
fixed-h8,3,2,1.0,,,,,
fixed-h8,3,3,0.5,,,,,
fixed-h8,3,4,0.0,,,,,
fixed-h8,3,5,1.0,,,,,
fixed-h8,4,1,1.0,,,,,
fixed-h8,4,2,0.7,,,,,
fixed-h8,4,3,0.5,,,,,
fixed-h8,4,4,0.0,,,,,
fixed-h8,4,5,0.8,,,,,
adaptive-corrected,0,1,1.0,7.178747190714434,0.04846799571963924,0.04776325964161919,0.048849315813708084,0.8549194265570905
adaptive-corrected,0,2,1.0,7.183219031415072,0.04821571831602648,0.04744526415345181,0.04864983410540834,0.8556891810463135
adaptive-corrected,0,3,0.6,7.17553344706825,0.048669781274439994,0.04796261700164331,0.0490005476727036,0.8543670301374636
adaptive-corrected,0,4,0.0,7.19311197397237,0.04764361294731498,0.046763837409516174,0.048199885879953705,0.857392642835776
adaptive-corrected,0,5,1.0,7.180850478088546,0.04833710228950241,0.047577385337801155,0.04883137107214432,0.855254140104358
adaptive-corrected,1,1,1.0,7.133114837369115,0.05047108214214551,0.051228297432120755,0.051554448706068866,0.8467461706923066
adaptive-corrected,1,2,1.0,7.138398257202638,0.0503125924087522,0.05116758790062253,0.05060201791345033,0.847917802167355
adaptive-corrected,1,3,0.48,7.131535092900264,0.051057170893059785,0.051246242006797255,0.05089691362444011,0.8467997229369811
adaptive-corrected,1,4,0.06,7.140065382725249,0.05010222114250064,0.051132373231152696,0.05060622183481852,0.848159190972646
adaptive-corrected,1,5,0.94,7.154173498296479,0.04791514283128436,0.049400393008185876,0.05350457910149558,0.8491799066303551
adaptive-corrected,2,1,1.0,7.116901687999022,0.05042026243973848,0.051254650071597754,0.05565714706060595,0.8426679421467079
adaptive-corrected,2,2,0.66,7.135031398505141,0.049695622699087685,0.05150955460235322,0.052010518956041134,0.8467843238471477
adaptive-corrected,2,3,0.52,7.128984287673073,0.05014431031266867,0.051360520532882446,0.05296055184266981,0.845534591115495
adaptive-corrected,2,4,0.0,7.132591446592162,0.05015929759666324,0.05130014478291074,0.052123106757799784,0.8464174290498098
adaptive-corrected,2,5,1.0,7.132235158406771,0.05027933194087102,0.051287285960637606,0.05202145904302597,0.8464119272965651
adaptive-corrected,3,1,1.0,7.108150266807887,0.051817175689884414,0.05254528538514209,0.05346445745678358,0.842173086315073
adaptive-corrected,3,2,0.7,7.102302608754463,0.05168459251403696,0.05307865271092977,0.054358350206912265,0.8408784137488646
adaptive-corrected,3,3,0.6,7.105512842133627,0.05214766572115506,0.052489001578727705,0.05362986400723457,0.8417334646532597
adaptive-corrected,3,4,0.0,7.102535623854647,0.05185455414528648,0.05294498405233026,0.05420313580582539,0.8409973197976748
adaptive-corrected,3,5,0.96,7.102524063509181,0.05223754718537462,0.05252144065786703,0.054171221982838656,0.8410698433845897
adaptive-corrected,4,1,1.0,7.115245373091296,0.052032661500216605,0.05279576516884713,0.05093785138216299,0.8442337219655918
adaptive-corrected,4,2,1.0,7.1148141825507425,0.052049417725239674,0.05297009259804912,0.05075482517994683,0.8442256598637021
adaptive-corrected,4,3,0.78,7.12040394825348,0.051690997996767934,0.05226325700824387,0.05104488694077529,0.8450008610596403
adaptive-corrected,4,4,0.0,7.111462759777903,0.05224571057905753,0.05330448775862654,0.050747600230077905,0.8437022090951601
adaptive-corrected,4,5,0.32,7.112413030030827,0.05219908977796634,0.05340501393874486,0.050440838612616064,0.8439550697406133
